"site_id","site_code","site_name"
13151,"4723005",包头市稀土高新区
13159,"3793001",河南汝阳县
13246,"5123074",昆山石浦卫泾路
13430,"7557204",深圳长圳
13512,"5123076",常熟王庄
13684,"0103172",怀柔新庙城
571651,"0213775",松江荣乐路SK
571653,"5933019",宁德蕉城区K
572629,"4313100",长春朝阳重庆路K
572641,"0283261",龙泉振中路SK
572668,"0208416",新芳村海南S
573625,"8163056",绵阳游仙镇S
576617,"5123684",张家港开发区S
576626,"7503113",江海高新区K
577621,"5953118",福建祥卿S
582605,"5723077",安吉新城K
593615,"5713386",下沙文海路S
597637,"0253079",城区丽都S
600629,"8343027",凉山州西昌航天城SK
602625,"0203375",青凤大街S
602688,"7603102",中山三角华鑫K
602692,"5393045",临沭城北SK
602722,"8783019",楚雄新城区K
602725,"8783022",楚雄开发区
613620,"5393283",临沂高新城西K
615605,"7543073",陈店西环路SK
620605,"8383012",德阳城北S
628634,"5323309",即墨通济新区S
631695,"3113173",开发区海河道S
633671,"5743317",宁波宛和S
633700,"5123713",张家港市港口SK
634696,"3163245",文安城南S
634709,"5373263",济宁全顺通
636630,"8163240",绵阳梓潼县
637672,"5714029",萧山旺角城S
638625,"3113358",无极北区镇S
639651,"5324031",青岛阳光A
739760,"0203608",广州新塘百悦S
739794,"0203613",白云太和石湖S
740700,"0203615",万菱一德路S
741622,"4193207",辽宁辽阳市宏伟
741641,"5153225",东台三仓S
743827,"5733303",浙北海宁市区
743829,"5953373",瓷都浔中镇
744685,"5763285",临海古街
746692,"8713304",昆明一环路西S
746786,"571600001",萧山袍江派送部
748140,"311300002",石家庄方村聚能S
748141,"731300005",新节奏S
748345,"571300004",杭州银座S
748392,"574300003",横河东部S
748494,"020300002",广恒永福S
749691,"852300002",遵义虾子镇S
784127,"915300005",安康市美缝工厂
784361,"731300091",中青路S
784426,"515300013",东台弶港镇S
784428,"432300009",吉林市船营
784452,"432300010",吉林市永吉
784648,"512300135",苏州绸都S
784735,"857300016",织金安能
787034,"754300015",汕头潮南
787465,"713300008",红安将军县S
787854,"523300033",靖江孤山S
787932,"753300011",梅州新五华
788345,"730300008",岳阳华容博达S
788960,"753300012",丰顺乡镇S
801015,"571300174",萧山区龙湖S
801607,"938300002",甘肃甘谷
801829,"793600003",上饶分拨填仓T
802642,"574300091",宁波石碶西杨S
40614,"4823004",内蒙古兴安盟乌兰浩特
335615,"5103148",云亭镇S
732690,"9513231",德胜
19623,"9363010",甘肃张掖山丹
803457,"871300035",昆明桃园
725632,"7603281",中山新黄圃镇
761084,"532600006",青岛分拨直送部
793925,"512300174",吴中郭巷官浦S
9039,"7553101",福田会展中心
429631,"7443004",张家界市区
803256,"516300191",王林八部
803042,"516300091",万沙八部
803050,"516300098",北环一部
772218,"029300046",西安雁翔路S
766463,"315300021",唐山韩城镇
457715,"3133038",河北张家口阳原县
24172,"0243069",沈阳马三家
802810,"020300170",南村华易S
1,"1300001",深圳驻地营业部
20,"1300020",中山驻地营业部
22,"1300022",合肥驻地营业部
37,"1300037",太原驻地营业部
169,"1300169",惠州博罗驻地营业部
1813,"7343005",衡阳蒸湘
1841,"3113034",石家庄晋州
1848,"0103094",石家庄鹿泉市
1989,"0103072",北京朝阳酒仙桥
2028,"0283051",遂宁西
2064,"0283025",邛崃
2125,"7543014",汕头龙湖珠池
2171,"8713026",昆明盘龙雄达
2271,"0203025",狮山
2405,"7693016",东莞石排
2432,"0593009",福州闽侯上街
2512,"0203021",花都炭步
2532,"5393080",山东日照莒县
2539,"7726001",柳州派送部
2542,"7723005",柳州鱼峰宝莲新都
2609,"7525001",惠州营业部
2705,"0213093",奉贤化学工业区
2724,"5353028",山东海阳城区
2764,"5393067",山东临沂罗庄
2832,"0592205",莆田荔城
3027,"5513030",合肥市区
3150,"0213002",嘉定城北
3184,"0213095",浦东花木
3229,"0213062",青浦崧泽
3347,"5173012",江苏宿迁市
3411,"5123019",昆山张浦
3502,"7553086",沙井共和
3764,"3513002",山西吕梁
3867,"5733018",嘉善市区
4061,"5926003",厦门派送部
4227,"0233034",重庆涪陵
4242,"0233064",重庆南川
4262,"8523002",遵义长征
4317,"5743032",宁波北仑大碶
4331,"5743014",宁波鄞州姜山
4359,"5713026",上虞
4428,"5715001",萧山营业部
4598,"0213109",浦东六灶
4615,"5713093",杭州方山
4824,"5713095",杭州崇贤
4891,"4793001",内蒙古锡林浩特
4971,"0103122",顺义后沙峪
22026,"7563041",武汉常福
22248,"7555042",深圳会员立凯达
22390,"7163008",洪湖新堤
22416,"5276002",沭阳派送部
22433,"8923001",西藏日喀则
22763,"7313114",长沙国防科大
22772,"7593015",湛江开发区
22962,"7373006",益阳安化县
23277,"8183007",巴中市回风
23484,"0233160",璧山丁家
23502,"4513039",哈尔滨巴彦县
23922,"0105020",朝阳会员腾达
24117,"5773058",温州金竹
24388,"5743061",宁波余姚东
24519,"7313116",株洲炎帝
24585,"7603045",坦洲北部
24614,"7183011",恩施鹤峰县
24974,"3513041",太原万柏林北部
25769,"0243073",沈阳松山西路
25826,"0243074",辽宁沈阳白塔堡
25872,"3193028",河北邢台邢家湾
25875,"5985002",福州会员辉煌
26482,"4723017",昆区师家营
26632,"9963012",库尔勒且末县
26703,"7353010",湖南临武
26829,"5323064",青岛黄岛前湾港
27310,"6913008",西双版纳江北
27369,"7313124",株洲市天元
35593,"8183024",宣汉县南坝镇
43609,"5313043",济南幸福柳广场
47604,"8333026",乐山市夹江
49624,"5103120",无锡新区新加坡S
55588,"3503018",山西忻州五寨神池
63606,"3193029",威县章台S
772548,"531300033",济南仲宫
804544,"579300099",永康紫薇
5074,"7153001",湖北通城
5995,"7713017",广西贵港
6638,"0213116",闵行经济开发区
7113,"3513026",太原迎泽服装城
7275,"5195001",常州营业部
7276,"9915001",乌鲁木齐营业部
7331,"7933002",江西上饶县
7425,"0245002",沈阳营业部2
7427,"5735001",嘉兴营业部
7512,"5143005",扬州华阳
7559,"9533001",宁夏吴忠利通
7578,"3513001",太原经济开发区
7610,"431301107623",吉林长春高新一部07623
7618,"3123007",河北保定清苑
7666,"0103055",顺义国展
7777,"3913001",河南济源
7901,"3155001",唐山营业部
7954,"5143006",扬州蒋王
8099,"0283052",彭州市濛阳镇
8148,"4743001",内蒙古乌兰察布
8159,"0216003",上海普陀派送部
8437,"7533001",兴宁
8514,"3193005",邢台隆尧
8593,"8983010",海南昌江县
8594,"5773030",苍南巴曹
8646,"7945001",抚州营业部
8692,"4313018",吉林长春南关一部
8730,"4513006",哈尔滨阿城
8760,"1000112766164",测试代收货款766164
8780,"3113047",石家庄藁城梅花镇屯头
8809,"5315001",济南营业部
8944,"4513012",哈尔滨南岗
8950,"7574003",海元会员云邦
9119,"8983016",海南定安县
9142,"5743048",宁波鄞州洞桥
9147,"0206003",广州黄埔派送部
9433,"8713044",昆明盘龙茨坝
9456,"3713077",郑州华南城
9487,"7723013",柳州柳东新区
9670,"8713045",云南昆明安宁
14009,"3963002",河南泌阳
14022,"0276004",万国摩配派送部
14034,"0103176",石景山万达
14059,"5563017",安庆迎江
14558,"0273072",武昌光谷广场
14880,"3713021",郑州二七区D
15103,"7593014",湛江徐闻县
15605,"7753013",玉林福绵区
15613,"7913041",南昌红角洲
16452,"9173009",宝鸡市陇县
16842,"8393012",广元市朝天区
16965,"9113011",延安延长
16979,"8723010",云南大理宾川
17093,"5953036",石狮北环路
17102,"8363015",甘孜州石渠
17110,"5963005",龙海角美
17151,"5953038",石狮华山
17206,"8173016",南充市蓬安县
17309,"0293063",陕西咸阳淳化
17406,"0103224",北京天坛
17477,"3503005",山西忻州西部
455183,"8773030",玉溪市北城
455568,"8303037",泸州市中口
455718,"5163107",耿车大众南区SK
456177,"7553434",深圳高运SK
456214,"0213683",上海南翔城区K
456382,"5793122",永康电商
456722,"5793124",永康市龙山SK
456852,"8183058",达州市张氏物流K
457082,"0283425",郫都新红光K
457285,"8393040",广元三堆镇百顺市场
457436,"5123532",昆山城南SK
457504,"7713092",欣华超KA
458610,"0203344",白云新百佳K
458671,"3103079",河北邯郸市肥乡SK
472628,"5713358",中泰园区SK
